word,word_length_for_file,number_of_guess_for_file,number_of_incorrect_guesses_for_file,which_list_solved_word,letters_guessed_in_order,letters_guessed_incorrectly
art,3,5,2,5000EnglishWordsFrequency.txt,"['a', 'd', 's', 'r', 't']","{'d', 's'}"
freshman,8,10,2,5000EnglishWordsFrequency.txt,"['e', 'i', 't', 'r', 'h', 'f', 'n', 'm', 'a', 's']","{'i', 't'}"
opposed,7,8,3,5000EnglishWordsFrequency.txt,"['e', 'r', 'c', 't', 'd', 's', 'p', 'o']","{'r', 'c', 't'}"
envision,8,6,0,5000EnglishWordsFrequency.txt,"['e', 'i', 'n', 'v', 'o', 's']",set()
bride,5,8,3,5000EnglishWordsFrequency.txt,"['e', 'a', 'i', 'r', 'p', 't', 'd', 'b']","{'p', 'a', 't'}"
unit,4,8,4,5000EnglishWordsFrequency.txt,"['e', 'o', 'a', 'i', 'p', 't', 'u', 'n']","{'e', 'p', 'a', 'o'}"
assign,6,7,2,5000EnglishWordsFrequency.txt,"['e', 'i', 'n', 't', 'g', 'a', 's']","{'e', 't'}"
bloody,6,7,2,5000EnglishWordsFrequency.txt,"['e', 'i', 'o', 'b', 'd', 'y', 'l']","{'e', 'i'}"
mouse,5,8,3,5000EnglishWordsFrequency.txt,"['e', 'a', 'i', 'o', 's', 'h', 'u', 'm']","{'h', 'a', 'i'}"
theological,11,9,0,5000EnglishWordsFrequency.txt,"['t', 'h', 'e', 'c', 'g', 'a', 'i', 'l', 'o']",set()
measurement,11,8,0,5000EnglishWordsFrequency.txt,"['t', 'n', 'e', 'r', 'u', 'm', 'a', 's']",set()
century,7,8,1,5000EnglishWordsFrequency.txt,"['e', 'i', 'r', 't', 'c', 'u', 'n', 'y']",{'i'}
price,5,7,2,5000EnglishWordsFrequency.txt,"['e', 'a', 'i', 'r', 'p', 'z', 'c']","{'z', 'a'}"
sheer,5,6,2,5000EnglishWordsFrequency.txt,"['e', 's', 't', 'p', 'r', 'h']","{'p', 't'}"
unusual,7,8,3,5000EnglishWordsFrequency.txt,"['e', 'i', 'a', 'r', 'u', 'n', 'l', 's']","{'r', 'e', 'i'}"
proclaim,8,9,1,5000EnglishWordsFrequency.txt,"['e', 'i', 'a', 'o', 'c', 'r', 'm', 'p', 'l']",{'e'}
either,6,5,0,5000EnglishWordsFrequency.txt,"['e', 'h', 't', 'r', 'i']",set()
hook,4,8,5,5000EnglishWordsFrequency.txt,"['e', 'o', 'l', 'd', 'r', 'k', 'b', 'h']","{'e', 'b', 'r', 'd', 'l'}"
nightmare,9,9,0,5000EnglishWordsFrequency.txt,"['e', 'a', 'r', 'h', 't', 'g', 'n', 'm', 'i']",set()
label,5,6,2,5000EnglishWordsFrequency.txt,"['e', 'r', 'n', 'l', 'a', 'b']","{'r', 'n'}"
embrace,7,6,0,5000EnglishWordsFrequency.txt,"['e', 'c', 'r', 'b', 'm', 'a']",set()
smart,5,7,2,5000EnglishWordsFrequency.txt,"['e', 'a', 'r', 's', 'k', 't', 'm']","{'e', 'k'}"
yell,4,6,3,5000EnglishWordsFrequency.txt,"['e', 'a', 'l', 'w', 'h', 'y']","{'h', 'a', 'w'}"
belt,4,5,1,5000EnglishWordsFrequency.txt,"['e', 'a', 'l', 't', 'b']",{'a'}
proceed,7,7,1,5000EnglishWordsFrequency.txt,"['e', 'n', 'c', 'r', 'd', 'p', 'o']",{'n'}
testify,7,8,2,5000EnglishWordsFrequency.txt,"['e', 'i', 'n', 'r', 'y', 't', 'f', 's']","{'r', 'n'}"
composition,11,8,0,5000EnglishWordsFrequency.txt,"['t', 'i', 'c', 'n', 'm', 'p', 'o', 's']",set()
starter,7,5,0,5000EnglishWordsFrequency.txt,"['e', 'r', 't', 'a', 's']",set()
insert,6,7,1,5000EnglishWordsFrequency.txt,"['e', 't', 's', 'n', 'i', 'c', 'r']",{'c'}
nerve,5,4,0,5000EnglishWordsFrequency.txt,"['e', 'n', 'r', 'v']",set()
exhibit,7,6,0,5000EnglishWordsFrequency.txt,"['e', 't', 'x', 'i', 'h', 'b']",set()
roughly,7,10,3,5000EnglishWordsFrequency.txt,"['e', 'i', 'a', 'o', 'u', 'r', 'h', 'g', 'y', 'l']","{'e', 'a', 'i'}"
much,4,11,7,5000EnglishWordsFrequency.txt,"['e', 'o', 'a', 'i', 'u', 'b', 't', 'c', 'k', 'h', 'm']","{'e', 't', 'b', 'k', 'a', 'i', 'o'}"
forth,5,8,3,5000EnglishWordsFrequency.txt,"['e', 'a', 'o', 'u', 't', 'r', 'h', 'f']","{'e', 'a', 'u'}"
fight,5,10,5,5000EnglishWordsFrequency.txt,"['e', 'a', 'o', 'i', 't', 'h', 'g', 'm', 'l', 'f']","{'e', 'm', 'a', 'l', 'o'}"
discover,8,8,0,5000EnglishWordsFrequency.txt,"['e', 'r', 's', 'c', 'v', 'd', 'i', 'o']",set()
skilled,7,9,3,5000EnglishWordsFrequency.txt,"['e', 'r', 'c', 't', 'd', 's', 'k', 'i', 'l']","{'r', 'c', 't'}"
freely,6,5,0,5000EnglishWordsFrequency.txt,"['e', 'r', 'f', 'y', 'l']",set()
territory,9,6,0,5000EnglishWordsFrequency.txt,"['e', 'i', 't', 'r', 'y', 'o']",set()
government,10,9,1,5000EnglishWordsFrequency.txt,"['i', 'e', 't', 'n', 'v', 'r', 'g', 'm', 'o']",{'i'}
profound,8,9,2,5000EnglishWordsFrequency.txt,"['e', 'i', 'o', 'r', 'p', 'u', 'f', 'n', 'd']","{'e', 'i'}"
admire,6,7,1,5000EnglishWordsFrequency.txt,"['e', 'i', 'a', 'v', 'r', 'd', 'm']",{'v'}
sales,5,6,2,5000EnglishWordsFrequency.txt,"['e', 'r', 'n', 'l', 'a', 's']","{'r', 'n'}"
variable,8,7,0,5000EnglishWordsFrequency.txt,"['e', 'i', 'a', 'b', 'v', 'r', 'l']",set()
icon,4,7,3,5000EnglishWordsFrequency.txt,"['e', 'o', 'p', 'w', 'i', 'n', 'c']","{'e', 'p', 'w'}"
apply,5,7,3,5000EnglishWordsFrequency.txt,"['e', 'a', 'o', 'l', 'u', 'y', 'p']","{'e', 'u', 'o'}"
decent,6,7,2,5000EnglishWordsFrequency.txt,"['e', 't', 'r', 'd', 'f', 'c', 'n']","{'r', 'f'}"
parade,6,7,2,5000EnglishWordsFrequency.txt,"['e', 'i', 'a', 'g', 'p', 'r', 'd']","{'i', 'g'}"
silk,4,8,4,5000EnglishWordsFrequency.txt,"['e', 'o', 'a', 'i', 'l', 'm', 'k', 's']","{'e', 'a', 'o', 'm'}"
currently,9,8,0,5000EnglishWordsFrequency.txt,"['e', 'r', 'c', 'u', 't', 'n', 'y', 'l']",set()
lap,3,7,4,5000EnglishWordsFrequency.txt,"['a', 't', 'y', 'r', 'p', 'm', 'l']","{'r', 'm', 't', 'y'}"
ingredient,10,7,0,5000EnglishWordsFrequency.txt,"['i', 'e', 't', 'r', 'g', 'n', 'd']",set()
invention,9,6,0,5000EnglishWordsFrequency.txt,"['e', 't', 'n', 'v', 'i', 'o']",set()
sector,6,7,1,5000EnglishWordsFrequency.txt,"['e', 'r', 'o', 'n', 'c', 't', 's']",{'n'}
snap,4,8,4,5000EnglishWordsFrequency.txt,"['e', 'o', 'a', 'r', 'l', 's', 'n', 'p']","{'r', 'e', 'l', 'o'}"
midst,5,10,5,5000EnglishWordsFrequency.txt,"['e', 'a', 'o', 'i', 't', 'h', 's', 'r', 'd', 'm']","{'e', 'h', 'r', 'a', 'o'}"
occupy,6,7,2,5000EnglishWordsFrequency.txt,"['e', 'i', 'o', 'u', 'c', 'y', 'p']","{'e', 'i'}"
ill,3,6,4,5000EnglishWordsFrequency.txt,"['a', 'e', 'o', 'i', 't', 'l']","{'e', 'a', 't', 'o'}"
towards,7,9,2,5000EnglishWordsFrequency.txt,"['e', 'i', 'a', 't', 'o', 'r', 'd', 'w', 's']","{'e', 'i'}"
volunteer,9,8,0,5000EnglishWordsFrequency.txt,"['e', 'u', 't', 'v', 'r', 'n', 'l', 'o']",set()
statement,9,6,0,5000EnglishWordsFrequency.txt,"['e', 'n', 't', 'm', 'a', 's']",set()
tray,4,8,4,5000EnglishWordsFrequency.txt,"['e', 'o', 'a', 'r', 'g', 'p', 't', 'y']","{'e', 'p', 'o', 'g'}"
sculpture,9,9,1,5000EnglishWordsFrequency.txt,"['e', 'a', 'r', 'c', 'u', 't', 'p', 'l', 's']",{'a'}
contribution,12,8,0,5000EnglishWordsFrequency.txt,"['i', 't', 'c', 'u', 'b', 'r', 'n', 'o']",set()
neither,7,7,1,5000EnglishWordsFrequency.txt,"['e', 'r', 'h', 't', 'a', 'n', 'i']",{'a'}
mask,4,11,7,5000EnglishWordsFrequency.txt,"['e', 'o', 'a', 'l', 'r', 'n', 's', 't', 'h', 'm', 'k']","{'e', 'h', 't', 'r', 'n', 'l', 'o'}"
apparently,10,9,1,5000EnglishWordsFrequency.txt,"['i', 'e', 't', 'r', 'n', 'y', 'a', 'p', 'l']",{'i'}
pistol,6,8,2,5000EnglishWordsFrequency.txt,"['e', 'i', 'l', 's', 'a', 't', 'p', 'o']","{'e', 'a'}"
pole,4,8,4,5000EnglishWordsFrequency.txt,"['e', 'a', 'i', 'o', 's', 'p', 'k', 'l']","{'i', 'k', 'a', 's'}"
tile,4,7,3,5000EnglishWordsFrequency.txt,"['e', 'a', 'i', 'r', 'l', 'f', 't']","{'r', 'a', 'f'}"
rubber,6,5,1,5000EnglishWordsFrequency.txt,"['e', 'r', 'u', 'n', 'b']",{'n'}
cliff,5,9,5,5000EnglishWordsFrequency.txt,"['e', 'a', 'o', 'i', 't', 'l', 'c', 'n', 'f']","{'e', 't', 'n', 'a', 'o'}"
although,8,10,3,5000EnglishWordsFrequency.txt,"['e', 'i', 'o', 'r', 'h', 'u', 't', 'g', 'a', 'l']","{'r', 'e', 'i'}"
decline,7,8,2,5000EnglishWordsFrequency.txt,"['e', 'r', 'c', 'u', 'n', 'd', 'i', 'l']","{'r', 'u'}"
thrive,6,8,2,5000EnglishWordsFrequency.txt,"['e', 'i', 'a', 'o', 'r', 't', 'h', 'v']","{'a', 'o'}"
rack,4,8,4,5000EnglishWordsFrequency.txt,"['e', 'o', 'a', 'l', 'r', 'k', 'n', 'c']","{'e', 'l', 'o', 'n'}"
ability,7,7,1,5000EnglishWordsFrequency.txt,"['e', 'i', 't', 'b', 'y', 'a', 'l']",{'e'}
hat,3,4,1,5000EnglishWordsFrequency.txt,"['a', 't', 'c', 'h']",{'c'}
vulnerable,10,9,1,5000EnglishWordsFrequency.txt,"['i', 'e', 'u', 'b', 'v', 'r', 'n', 'a', 'l']",{'i'}
which,5,11,7,5000EnglishWordsFrequency.txt,"['e', 'a', 'o', 'i', 't', 'l', 'n', 'c', 'k', 'h', 'w']","{'e', 't', 'n', 'k', 'a', 'l', 'o'}"
income,6,7,1,5000EnglishWordsFrequency.txt,"['e', 'i', 'n', 'a', 'c', 'm', 'o']",{'a'}
pile,4,8,4,5000EnglishWordsFrequency.txt,"['e', 'a', 'i', 'r', 'l', 'f', 't', 'p']","{'r', 'a', 't', 'f'}"
dare,4,6,2,5000EnglishWordsFrequency.txt,"['e', 'a', 't', 'r', 'f', 'd']","{'t', 'f'}"
burning,7,8,2,5000EnglishWordsFrequency.txt,"['e', 'i', 'n', 'r', 'g', 'm', 'u', 'b']","{'e', 'm'}"
aids,4,6,2,5000EnglishWordsFrequency.txt,"['e', 'o', 'a', 'd', 'i', 's']","{'e', 'o'}"
advocate,8,8,1,5000EnglishWordsFrequency.txt,"['e', 'i', 'a', 'c', 't', 'v', 'd', 'o']",{'i'}
guidance,8,8,0,5000EnglishWordsFrequency.txt,"['e', 'i', 'u', 'a', 'c', 'g', 'd', 'n']",set()
pioneer,7,6,0,5000EnglishWordsFrequency.txt,"['e', 'n', 'r', 'i', 'p', 'o']",set()
cream,5,6,1,5000EnglishWordsFrequency.txt,"['e', 'a', 'r', 'b', 'm', 'c']",{'b'}
golden,6,8,2,5000EnglishWordsFrequency.txt,"['e', 'r', 't', 'n', 'd', 'o', 'g', 'l']","{'r', 't'}"
correctly,9,7,0,5000EnglishWordsFrequency.txt,"['e', 'r', 'c', 't', 'y', 'l', 'o']",set()
acceptable,10,8,1,5000EnglishWordsFrequency.txt,"['i', 'e', 'c', 't', 'b', 'a', 'p', 'l']",{'i'}
tunnel,6,6,1,5000EnglishWordsFrequency.txt,"['e', 'r', 't', 'u', 'n', 'l']",{'r'}
juror,5,6,2,5000EnglishWordsFrequency.txt,"['e', 'a', 'o', 'r', 'u', 'j']","{'e', 'a'}"
attack,6,7,3,5000EnglishWordsFrequency.txt,"['e', 'i', 'o', 'a', 'c', 't', 'k']","{'e', 'o', 'i'}"
smile,5,7,2,5000EnglishWordsFrequency.txt,"['e', 'a', 'i', 'r', 's', 'l', 'm']","{'r', 'a'}"
cultural,8,9,3,5000EnglishWordsFrequency.txt,"['e', 'i', 'o', 'a', 'u', 'c', 't', 'r', 'l']","{'e', 'o', 'i'}"
disabled,8,8,1,5000EnglishWordsFrequency.txt,"['e', 'r', 'd', 'b', 'a', 'i', 'l', 's']",{'r'}
artifact,8,7,1,5000EnglishWordsFrequency.txt,"['e', 'i', 'a', 'c', 't', 'r', 'f']",{'e'}
lucky,5,9,4,5000EnglishWordsFrequency.txt,"['e', 'a', 'o', 'i', 'u', 'y', 'l', 'c', 'k']","{'e', 'a', 'o', 'i'}"
ought,5,7,2,5000EnglishWordsFrequency.txt,"['e', 'a', 'o', 'u', 'h', 't', 'g']","{'e', 'a'}"
achievement,11,9,0,5000EnglishWordsFrequency.txt,"['t', 'n', 'e', 'c', 'h', 'v', 'm', 'a', 'i']",set()
revolutionary,13,11,0,5000EnglishWordsFrequency.txt,"['a', 'e', 'u', 't', 'r', 'v', 'n', 'y', 'i', 'l', 'o']",set()
circle,6,6,1,5000EnglishWordsFrequency.txt,"['e', 'i', 'l', 'm', 'c', 'r']",{'m'}
random,6,8,2,5000EnglishWordsFrequency.txt,"['e', 'i', 'o', 'a', 'r', 'n', 'd', 'm']","{'e', 'i'}"
wolf,4,7,3,5000EnglishWordsFrequency.txt,"['e', 'o', 'l', 'd', 'f', 'g', 'w']","{'d', 'e', 'g'}"
than,4,9,5,5000EnglishWordsFrequency.txt,"['e', 'o', 'a', 'r', 'l', 's', 'h', 't', 'n']","{'e', 'r', 'l', 'o', 's'}"
constraint,10,9,1,5000EnglishWordsFrequency.txt,"['i', 'o', 'l', 'c', 't', 'r', 'n', 'a', 's']",{'l'}
changing,8,7,1,5000EnglishWordsFrequency.txt,"['e', 'i', 'n', 'g', 'c', 'h', 'a']",{'e'}
nomination,10,6,0,5000EnglishWordsFrequency.txt,"['i', 't', 'n', 'm', 'a', 'o']",set()
islam,5,6,1,5000EnglishWordsFrequency.txt,"['e', 'a', 'l', 's', 'm', 'i']",{'e'}
coastal,7,8,2,5000EnglishWordsFrequency.txt,"['e', 'i', 'a', 'c', 't', 'l', 'o', 's']","{'e', 'i'}"
historic,8,8,1,5000EnglishWordsFrequency.txt,"['e', 'i', 'h', 'c', 's', 't', 'r', 'o']",{'e'}
civil,5,7,3,5000EnglishWordsFrequency.txt,"['e', 'a', 'o', 'i', 'v', 'c', 'l']","{'e', 'a', 'o'}"
cheek,5,8,4,5000EnglishWordsFrequency.txt,"['e', 's', 'r', 'l', 'u', 'c', 'k', 'h']","{'r', 'u', 'l', 's'}"
bush,4,9,5,5000EnglishWordsFrequency.txt,"['e', 'o', 'a', 'i', 'u', 'b', 'k', 's', 'h']","{'e', 'k', 'a', 'i', 'o'}"
concerned,9,6,0,5000EnglishWordsFrequency.txt,"['e', 'r', 'c', 'n', 'd', 'o']",set()
walk,4,7,3,5000EnglishWordsFrequency.txt,"['e', 'o', 'a', 'l', 'm', 'k', 'w']","{'e', 'o', 'm'}"
necessary,9,8,1,5000EnglishWordsFrequency.txt,"['e', 'n', 'c', 'y', 's', 't', 'r', 'a']",{'t'}
tuck,4,9,5,5000EnglishWordsFrequency.txt,"['e', 'o', 'a', 'i', 'u', 'b', 't', 'k', 'c']","{'e', 'b', 'a', 'i', 'o'}"
duty,4,9,5,5000EnglishWordsFrequency.txt,"['e', 'o', 'a', 'i', 'u', 'b', 't', 'd', 'y']","{'e', 'b', 'a', 'i', 'o'}"
mysterious,10,9,0,5000EnglishWordsFrequency.txt,"['i', 'e', 't', 'u', 'r', 'y', 'm', 'o', 's']",set()
soften,6,7,1,5000EnglishWordsFrequency.txt,"['e', 'r', 't', 's', 'f', 'n', 'o']",{'r'}
emotional,9,8,0,5000EnglishWordsFrequency.txt,"['e', 'i', 't', 'n', 'm', 'a', 'l', 'o']",set()
estate,6,5,1,5000EnglishWordsFrequency.txt,"['e', 'n', 's', 'a', 't']",{'n'}
beside,6,6,1,5000EnglishWordsFrequency.txt,"['e', 'r', 'd', 'b', 'i', 's']",{'r'}
spouse,6,7,2,5000EnglishWordsFrequency.txt,"['e', 'i', 'a', 'u', 'o', 'p', 's']","{'i', 'a'}"
royal,5,7,2,5000EnglishWordsFrequency.txt,"['e', 'a', 'l', 'r', 'v', 'y', 'o']","{'v', 'e'}"
him,3,10,7,5000EnglishWordsFrequency.txt,"['a', 'e', 'o', 'i', 'p', 's', 'd', 't', 'm', 'h']","{'e', 't', 'd', 'a', 'p', 'o', 's'}"
really,6,6,1,5000EnglishWordsFrequency.txt,"['e', 'r', 'i', 'a', 'y', 'l']",{'i'}
today,5,9,4,5000EnglishWordsFrequency.txt,"['e', 'a', 'l', 'r', 'u', 'o', 't', 'd', 'y']","{'r', 'e', 'l', 'u'}"
counterpart,11,9,0,5000EnglishWordsFrequency.txt,"['t', 'c', 'u', 'e', 'r', 'n', 'a', 'p', 'o']",set()
cage,4,8,4,5000EnglishWordsFrequency.txt,"['e', 'a', 't', 'r', 's', 'm', 'c', 'g']","{'r', 'm', 't', 's'}"
blast,5,7,2,5000EnglishWordsFrequency.txt,"['e', 'a', 'r', 's', 't', 'b', 'l']","{'r', 'e'}"
southern,8,8,0,5000EnglishWordsFrequency.txt,"['e', 'n', 'u', 'h', 't', 'r', 'o', 's']",set()
sick,4,9,5,5000EnglishWordsFrequency.txt,"['e', 'o', 'a', 'i', 'l', 'n', 's', 'k', 'c']","{'e', 'n', 'a', 'l', 'o'}"
gesture,7,8,2,5000EnglishWordsFrequency.txt,"['e', 'r', 'u', 't', 'v', 'c', 'g', 's']","{'v', 'c'}"
contributor,11,8,0,5000EnglishWordsFrequency.txt,"['t', 'c', 'u', 'b', 'r', 'n', 'i', 'o']",set()
policeman,9,9,0,5000EnglishWordsFrequency.txt,"['e', 'a', 'c', 'n', 'm', 'i', 'p', 'l', 'o']",set()
quality,7,10,3,5000EnglishWordsFrequency.txt,"['e', 'i', 'n', 'u', 'y', 's', 'q', 'a', 'l', 't']","{'e', 's', 'n'}"
typically,9,8,1,5000EnglishWordsFrequency.txt,"['e', 'i', 'a', 'c', 't', 'y', 'p', 'l']",{'e'}
nation,6,6,1,5000EnglishWordsFrequency.txt,"['e', 'i', 'n', 't', 'o', 'a']",{'e'}
room,4,6,3,5000EnglishWordsFrequency.txt,"['e', 'o', 'l', 'd', 'r', 'm']","{'d', 'e', 'l'}"
revolution,10,9,0,5000EnglishWordsFrequency.txt,"['i', 'o', 'e', 'u', 't', 'r', 'n', 'l', 'v']",set()
institution,11,6,0,5000EnglishWordsFrequency.txt,"['t', 'u', 'n', 'i', 'o', 's']",set()
armed,5,7,2,5000EnglishWordsFrequency.txt,"['e', 'r', 'i', 'c', 'd', 'm', 'a']","{'c', 'i'}"
pace,4,8,4,5000EnglishWordsFrequency.txt,"['e', 'a', 't', 'r', 's', 'm', 'c', 'p']","{'r', 'm', 't', 's'}"
justify,7,9,2,5000EnglishWordsFrequency.txt,"['e', 'i', 'n', 'u', 'y', 's', 'j', 't', 'f']","{'e', 'n'}"
racial,6,8,3,5000EnglishWordsFrequency.txt,"['e', 'i', 'n', 's', 'l', 'c', 'r', 'a']","{'e', 's', 'n'}"
gentleman,9,7,0,5000EnglishWordsFrequency.txt,"['e', 't', 'n', 'g', 'm', 'a', 'l']",set()
culture,7,9,3,5000EnglishWordsFrequency.txt,"['e', 'i', 'o', 'a', 'u', 'c', 't', 'r', 'l']","{'i', 'a', 'o'}"
theme,5,4,0,5000EnglishWordsFrequency.txt,"['e', 'h', 't', 'm']",set()
related,7,6,0,5000EnglishWordsFrequency.txt,"['e', 'r', 't', 'd', 'a', 'l']",set()
bare,4,7,3,5000EnglishWordsFrequency.txt,"['e', 'a', 't', 'r', 'f', 'd', 'b']","{'d', 't', 'f'}"
elevator,8,7,0,5000EnglishWordsFrequency.txt,"['e', 't', 'v', 'r', 'a', 'l', 'o']",set()
ms,2,3,1,5000EnglishWordsFrequency.txt,"['o', 'm', 's']",{'o'}
fundamental,11,9,0,5000EnglishWordsFrequency.txt,"['t', 'd', 'u', 'e', 'f', 'n', 'm', 'a', 'l']",set()
provoke,7,8,2,5000EnglishWordsFrequency.txt,"['e', 'i', 'o', 'r', 'p', 't', 'v', 'k']","{'i', 't'}"
raise,5,6,1,5000EnglishWordsFrequency.txt,"['e', 'a', 's', 'u', 'r', 'i']",{'u'}
center,6,6,1,5000EnglishWordsFrequency.txt,"['e', 'r', 'd', 't', 'c', 'n']",{'d'}
pleasant,8,8,1,5000EnglishWordsFrequency.txt,"['e', 'i', 't', 'n', 'a', 'p', 'l', 's']",{'i'}
consensus,9,7,1,5000EnglishWordsFrequency.txt,"['e', 'r', 'o', 'c', 'u', 'n', 's']",{'r'}
grasp,5,9,4,5000EnglishWordsFrequency.txt,"['e', 'a', 'r', 't', 'n', 'c', 'g', 's', 'p']","{'e', 'c', 't', 'n'}"
sit,3,9,6,5000EnglishWordsFrequency.txt,"['a', 'e', 'o', 'i', 'p', 's', 'x', 'r', 't']","{'e', 'r', 'a', 'p', 'o', 'x'}"
executive,9,7,0,5000EnglishWordsFrequency.txt,"['e', 'c', 'u', 't', 'v', 'i', 'x']",set()
quote,5,10,5,5000EnglishWordsFrequency.txt,"['e', 'a', 'i', 'o', 's', 'l', 'p', 'u', 't', 'q']","{'a', 'i', 'p', 'l', 's'}"
borrow,6,8,4,5000EnglishWordsFrequency.txt,"['e', 'i', 'o', 'c', 'b', 't', 'r', 'w']","{'e', 'c', 't', 'i'}"
atop,4,6,2,5000EnglishWordsFrequency.txt,"['e', 'o', 'p', 't', 's', 'a']","{'e', 's'}"
endless,7,5,0,5000EnglishWordsFrequency.txt,"['e', 'n', 'd', 'l', 's']",set()
shine,5,8,3,5000EnglishWordsFrequency.txt,"['e', 'a', 'i', 'r', 's', 'l', 'n', 'h']","{'r', 'a', 'l'}"
window,6,8,3,5000EnglishWordsFrequency.txt,"['e', 'i', 'l', 'o', 'b', 'd', 'w', 'n']","{'e', 'l', 'b'}"
touchdown,9,10,2,5000EnglishWordsFrequency.txt,"['e', 'i', 'o', 'u', 'c', 'h', 't', 'n', 'd', 'w']","{'e', 'i'}"
money,5,6,1,5000EnglishWordsFrequency.txt,"['e', 'r', 'n', 'y', 'o', 'm']",{'r'}
export,6,7,1,5000EnglishWordsFrequency.txt,"['e', 't', 'r', 'o', 'f', 'p', 'x']",{'f'}
not,3,7,4,5000EnglishWordsFrequency.txt,"['a', 'e', 'o', 't', 'p', 'l', 'n']","{'e', 'p', 'a', 'l'}"
pink,4,11,7,5000EnglishWordsFrequency.txt,"['e', 'o', 'a', 'i', 'l', 'n', 'd', 'g', 'k', 's', 'p']","{'e', 'g', 'd', 'a', 'l', 'o', 's'}"
pen,3,10,7,5000EnglishWordsFrequency.txt,"['a', 'e', 't', 'w', 'r', 'y', 'b', 'c', 'p', 'n']","{'c', 't', 'b', 'r', 'y', 'a', 'w'}"
award,5,5,1,5000EnglishWordsFrequency.txt,"['e', 'a', 'r', 'd', 'w']",{'e'}
rebel,5,4,0,5000EnglishWordsFrequency.txt,"['e', 'r', 'l', 'b']",set()
premise,7,6,0,5000EnglishWordsFrequency.txt,"['e', 'r', 'i', 'p', 's', 'm']",set()
israeli,7,7,1,5000EnglishWordsFrequency.txt,"['e', 't', 's', 'r', 'a', 'i', 'l']",{'t'}
twin,4,10,6,5000EnglishWordsFrequency.txt,"['e', 'o', 'a', 'i', 'p', 't', 'h', 'r', 'w', 'n']","{'e', 'h', 'r', 'a', 'p', 'o'}"
restriction,11,8,0,5000EnglishWordsFrequency.txt,"['t', 'n', 'e', 'c', 'r', 'i', 'o', 's']",set()
architect,9,7,0,5000EnglishWordsFrequency.txt,"['e', 't', 'c', 'h', 'r', 'a', 'i']",set()
consequently,12,11,1,5000EnglishWordsFrequency.txt,"['i', 'e', 'c', 'u', 't', 'q', 'n', 'y', 'l', 'o', 's']",{'i'}
document,8,9,1,5000EnglishWordsFrequency.txt,"['e', 'n', 't', 'm', 'g', 'c', 'u', 'd', 'o']",{'g'}
dock,4,9,5,5000EnglishWordsFrequency.txt,"['e', 'o', 'l', 'r', 's', 'n', 'c', 'd', 'k']","{'e', 'r', 'n', 'l', 's'}"
trust,5,8,4,5000EnglishWordsFrequency.txt,"['e', 'a', 'o', 'i', 'u', 't', 'r', 's']","{'e', 'a', 'o', 'i'}"
check,5,8,4,5000EnglishWordsFrequency.txt,"['e', 'a', 's', 'd', 'h', 't', 'c', 'k']","{'d', 'a', 't', 's'}"
ideal,5,8,3,5000EnglishWordsFrequency.txt,"['e', 'a', 'r', 's', 'c', 'd', 'i', 'l']","{'r', 'c', 's'}"
lunch,5,10,5,5000EnglishWordsFrequency.txt,"['e', 'a', 'o', 'i', 'u', 'y', 'c', 'h', 'n', 'l']","{'e', 'y', 'a', 'i', 'o'}"
supermarket,11,10,1,5000EnglishWordsFrequency.txt,"['t', 'n', 'u', 'e', 'r', 'm', 'k', 'a', 'p', 's']",{'n'}
peer,4,9,6,5000EnglishWordsFrequency.txt,"['e', 'd', 'l', 'k', 'm', 'b', 't', 'r', 'p']","{'t', 'b', 'd', 'm', 'k', 'l'}"
enact,5,6,1,5000EnglishWordsFrequency.txt,"['e', 't', 'c', 'a', 'x', 'n']",{'x'}
he,2,6,4,5000EnglishWordsFrequency.txt,"['o', 'm', 'a', 'i', 'e', 'h']","{'m', 'a', 'o', 'i'}"
glad,4,10,6,5000EnglishWordsFrequency.txt,"['e', 'o', 'a', 'r', 'l', 'p', 'f', 'c', 'd', 'g']","{'e', 'c', 'r', 'f', 'p', 'o'}"
welfare,7,7,1,5000EnglishWordsFrequency.txt,"['e', 'r', 'u', 'a', 'l', 'f', 'w']",{'u'}
exciting,8,7,0,5000EnglishWordsFrequency.txt,"['e', 'i', 'n', 'c', 't', 'g', 'x']",set()
awake,5,4,0,5000EnglishWordsFrequency.txt,"['e', 'a', 'w', 'k']",set()
engine,6,4,0,5000EnglishWordsFrequency.txt,"['e', 'n', 'g', 'i']",set()
update,6,7,1,5000EnglishWordsFrequency.txt,"['e', 'i', 'a', 't', 'd', 'u', 'p']",{'i'}
retreat,7,4,0,5000EnglishWordsFrequency.txt,"['e', 'r', 'a', 't']",set()
equipment,9,8,0,5000EnglishWordsFrequency.txt,"['e', 't', 'n', 'i', 'u', 'q', 'm', 'p']",set()
think,5,8,3,5000EnglishWordsFrequency.txt,"['e', 'a', 'o', 'i', 't', 'h', 'n', 'k']","{'e', 'a', 'o'}"
tape,4,5,1,5000EnglishWordsFrequency.txt,"['e', 'a', 't', 'k', 'p']",{'k'}
diversity,9,8,0,5000EnglishWordsFrequency.txt,"['e', 't', 'v', 'r', 'd', 'y', 'i', 's']",set()
near,4,10,6,5000EnglishWordsFrequency.txt,"['e', 'a', 'r', 'b', 'h', 'y', 't', 'd', 'w', 'n']","{'h', 't', 'b', 'y', 'd', 'w'}"
